Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets)
zmalloc.c:100:15,,,,1,,,5,5,1266,2880,,,0,0,0,0
adlist.c:65:25,,,,1,,,54,54,1266,2880,,,0,0,0,0
adlist.c:177:21,,,,1,,,54,54,1266,2880,,,0,0,0,0
adlist.c:266:21,,,,1,,,16,29,1266,2880,,,0,0,0,0
adlist.c:298:17,,,,2,,,22,22,1994,2880,,,0,0,0,0
quicklist.c:1149:20,,,,2,,,14,16,1994,2880,,,0,0,0,0
quicklist.c:1356:25,,,,2,,,7,12,1994,2880,,,0,0,0,0
ae.c:408:13,,,,1,,,391,391,1266,2880,,,0,0,0,0
ae.c:421:17,,,,4,,,15,15,2635,2880,,,0,0,0,0
ae.c:425:21,,,,4,,,15,15,2635,2880,,,0,0,0,0
ae.c:301:17,,,,2,,,31,31,1994,2880,,,0,0,0,0
ae.c:323:22,,,,3,,,1,1,2437,2880,,,0,0,0,0
ae.c:463:13,,,,1,,,391,391,1266,2880,,,0,0,0,0
zmalloc.c:132:15,,,,1,,,5,5,1266,2880,,,0,0,0,0
dict.c:209:17,,,,1,,,14,14,1266,2880,,,0,0,0,0
dict.c:270:5,,,,2,,,14,16,1994,2880,,,0,0,0,0
dict.c:302:40,,,,1,,,14,14,1266,2880,,,0,0,0,0
dict.c:972:33,,,,3,,,7,7,2437,2880,,,0,0,0,0
dict.c:316:5,,,,2,,,14,16,1994,2880,,,0,0,0,0
dict.c:333:9,,,,2,,,14,16,1994,2880,,,0,0,0,0
dict.c:343:5,,,,2,,,14,16,1994,2880,,,0,0,0,0
dict.c:344:5,,,,2,,,11,11,1994,2880,,,0,0,0,0
dict.c:436:5,,,,2,,,11,11,1994,2880,,,0,0,0,0
dict.c:437:5,,,,2,,,11,11,1994,2880,,,0,0,0,0
dict.c:449:43,,,,1,,,54,54,1266,2880,,,0,0,0,0
dict.c:454:13,,,,2,,,11,11,1994,2880,,,0,0,0,0
dict.c:455:13,,,,2,,,11,11,1994,2880,,,0,0,0,0
dict.c:483:9,,,,1,,,14,14,1266,2880,,,0,0,0,0
dict.c:488:33,,,,3,,,7,7,2437,2880,,,0,0,0,0
dict.c:853:23,,,,2,,,1,1,1994,2880,,,0,0,0,0
dict.c:857:13,,,,2,,,12,12,1994,2880,,,0,0,0,0
dict.c:875:23,,,,2,,,1,1,1994,2880,,,0,0,0,0
dict.c:879:13,,,,2,,,12,12,1994,2880,,,0,0,0,0
dict.c:887:27,,,,2,,,1,1,1994,2880,,,0,0,0,0
dict.c:891:17,,,,2,,,12,12,1994,2880,,,0,0,0,0
dict.c:999:12,,,,1,,,14,14,1266,2880,,,0,0,0,0
dict.c:372:9,,,,1,,,14,14,1266,2880,,,0,0,0,0
dict.c:379:33,,,,3,,,7,7,2437,2880,,,0,0,0,0
dict.c:386:21,,,,2,,,11,11,1994,2880,,,0,0,0,0
dict.c:387:21,,,,2,,,11,11,1994,2880,,,0,0,0,0
module.c:489:5,,,,3,,,1,1,2437,2880,,,0,0,0,0
db.c:1177:16,,,,4,,,8,8,2635,2880,,,0,0,0,0
server.c:2206:5,,,,1,,,391,391,1266,2880,,,0,0,0,0
zmalloc.c:117:15,,,,1,,,5,5,1266,2880,,,0,0,0,0
zmalloc.c:154:18,,,,1,,,5,5,1266,2880,,,0,0,0,0
pqsort.c:109:37,,,,2,,,22,22,1994,2880,,,0,0,0,0
pqsort.c:93:9,,,,2,,,22,22,1994,2880,,,0,0,0,0
pqsort.c:94:10,,,,2,,,22,22,1994,2880,,,0,0,0,0
pqsort.c:94:31,,,,2,,,22,22,1994,2880,,,0,0,0,0
pqsort.c:95:38,,,,2,,,22,22,1994,2880,,,0,0,0,0
pqsort.c:131:36,,,,2,,,22,22,1994,2880,,,0,0,0,0
pqsort.c:138:36,,,,2,,,22,22,1994,2880,,,0,0,0,0
object.c:302:5,,,,1,,,54,54,1266,2880,,,0,0,0,0
object.c:791:21,,,,1,,,14,14,1266,2880,,,0,0,0,0
./rio.h:96:30,,,,3,,,17,17,2437,2880,,,0,0,0,0
./rio.h:97:13,,,,3,,,9,9,2437,2880,,,0,0,0,0
./rio.h:109:13,,,,3,,,9,9,2437,2880,,,0,0,0,0
./rio.h:111:30,,,,3,,,17,17,2437,2880,,,0,0,0,0
rdb.c:779:9,,,,2,,,31,31,1994,2880,,,0,0,0,0
rdb.c:1415:21,,,,2,,,8,16,1994,2880,,,0,0,0,0
./rio.h:124:12,,,,1,,,258,258,1266,2880,,,0,0,0,0
t_set.c:58:13,,,,2,,,14,16,1994,2880,,,0,0,0,0
t_set.c:59:13,,,,2,,,14,16,1994,2880,,,0,0,0,0
t_zset.c:2294:21,,,,2,,,14,16,1994,2880,,,0,0,0,0
aof.c:743:9,,,,1,,,391,391,1266,2880,,,0,0,0,0
aof.c:1042:5,,,,3,,,5,5,2437,2880,,,0,0,0,0
debug.c:248:21,,,,2,,,31,31,1994,2880,,,0,0,0,0
scripting.c:881:5,,,,4,,,1,1,2635,2880,,,0,0,0,0
scripting.c:1022:9,,,,4,,,1,1,2635,2880,,,0,0,0,0
scripting.c:1043:9,,,,4,,,1,1,2635,2880,,,0,0,0,0
scripting.c:1154:9,,,,4,,,1,1,2635,2880,,,0,0,0,0
scripting.c:2143:9,,,,4,,,1,1,2635,2880,,,0,0,0,0
scripting.c:2146:13,,,,4,,,1,1,2635,2880,,,0,0,0,0
async.c:212:9,,,,1,,,54,54,1266,2880,,,0,0,0,0
module.c:3484:5,,,,3,,,1,1,2437,2880,,,0,0,0,0
lazyfree.c:72:13,,,,2,,,14,16,1994,2880,,,0,0,0,0
module.c:468:5,,,,3,,,1,1,2437,2880,,,0,0,0,0
module.c:3427:13,,,,3,,,1,1,2437,2880,,,0,0,0,0
module.c:3434:13,,,,1,,,54,54,1266,2880,,,0,0,0,0
module.c:3683:9,,,,3,,,1,1,2437,2880,,,0,0,0,0
defrag.c:378:21,,,,2,,,14,16,1994,2880,,,0,0,0,0
async.c:458:17,,,,1,,,54,54,1266,2880,,,0,0,0,0
./dict.c:248:9,,,,1,,,28,28,1266,2880,,,0,0,0,0
./dict.c:251:13,,,,3,,,7,7,2437,2880,,,0,0,0,0
./dict.c:188:9,,,,1,,,28,28,1266,2880,,,0,0,0,0
./dict.c:193:13,,,,3,,,7,7,2437,2880,,,0,0,0,0
./dict.c:200:13,,,,2,,,11,11,1994,2880,,,0,0,0,0
./dict.c:201:13,,,,2,,,11,11,1994,2880,,,0,0,0,0
