Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets)
ControlMatcher.cc:487:5,,,,1,,,33,33,2608,6201,,,0,0,232,796
ControlMatcher.cc:396:5,,,,1,,,33,33,2608,6201,,,0,0,232,796
ControlMatcher.cc:487:5,,,,1,,,33,33,2608,6201,,,0,0,232,796
ControlMatcher.cc:396:5,,,,1,,,33,33,2608,6201,,,0,0,232,796
ControlMatcher.cc:487:5,,,,1,,,33,33,2608,6201,,,0,0,232,796
ControlMatcher.cc:396:5,,,,1,,,33,33,2608,6201,,,0,0,232,796
ControlMatcher.cc:487:5,,,,1,,,33,33,2608,6201,,,0,0,232,796
ControlMatcher.cc:396:5,,,,1,,,33,33,2608,6201,,,0,0,232,796
CoreUtils.cc:357:7,,,,1,,,33,33,2608,6201,,,0,0,232,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
ICP.cc:429:7,,,,1,,,32,32,2608,6201,,,0,0,232,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
InkAPI.cc:1050:18,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
./InkAPIInternal.h:109:30,,,,1,,,33,33,2608,6201,,,0,0,232,796
./InkAPIInternal.h:109:30,,,,1,,,33,33,2608,6201,,,0,0,232,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
InkAPI.cc:2143:10,,,,2,,,26,26,4085,6201,,,0,0,546,796
InkAPI.cc:2165:3,,,,3,,,51,51,5450,6201,,,12,12,640,796
InkIOCoreAPI.cc:111:12,,,,1,,,20,33,2608,6201,,,0,0,232,796
/usr/lib/gcc/x86_64-linux-gnu/5.4.0/../../../../include/c++/5.4.0/functional:1830:2,,,,3,,,1,1,5450,6201,,,0,0,640,796
/usr/lib/gcc/x86_64-linux-gnu/5.4.0/../../../../include/c++/5.4.0/functional:1830:2,,,,3,,,1,1,5450,6201,,,0,0,640,796
/usr/lib/gcc/x86_64-linux-gnu/5.4.0/../../../../include/c++/5.4.0/functional:1830:2,,,,3,,,1,1,5450,6201,,,0,0,640,796
Main.cc:982:12,,,,1,,,32,32,2608,6201,,,0,0,232,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
Plugin.cc:139:5,,,,2,,,0,0,4085,6201,,,0,0,546,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
/home/matt/Documents/TestPrograms/trafficserver/trafficserver-7.1.1/iocore/eventsystem/I_Continuation.h:153:12,,,,3,,,184,184,5450,6201,,,17,17,640,796
