Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets)
,,,,1,,,74,74,566,1949,,,0,0,0,0
,,,,0,,,12,69,99,1949,,,0,0,0,0
,,,,3,,,15,15,1523,1949,,,0,0,0,0
,,,,4,,,18,18,1793,1949,,,0,0,0,0
,,,,2,,,34,34,1070,1949,,,0,0,0,0
,,,,2,,,6,6,1070,1949,,,0,0,0,0
,,,,4,,,18,18,1793,1949,,,0,0,0,0
,,,,4,,,18,18,1793,1949,,,0,0,0,0
,,,,1,,,74,74,566,1949,,,0,0,0,0
,,,,3,,,15,15,1523,1949,,,0,0,0,0
,,,,4,,,18,18,1793,1949,,,0,0,0,0
,,,,4,,,18,18,1793,1949,,,0,0,0,0
,,,,4,,,18,18,1793,1949,,,0,0,0,0
,,,,0,,,18,18,99,1949,,,0,0,0,0
,,,,3,,,15,15,1523,1949,,,0,0,0,0
,,,,0,,,12,69,99,1949,,,0,0,0,0
,,,,3,,,2,2,1523,1949,,,0,0,0,0
,,,,3,,,2,2,1523,1949,,,0,0,0,0
,,,,3,,,0,0,1523,1949,,,0,0,0,0
,,,,3,,,0,0,1523,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,54,54,566,1949,,,0,0,0,0
,,,,2,,,21,21,1070,1949,,,0,0,0,0
,,,,1,,,14,14,566,1949,,,0,0,0,0
,,,,1,,,14,14,566,1949,,,0,0,0,0
,,,,1,,,3,3,566,1949,,,0,0,0,0
,,,,5,,,3,3,1880,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,4,,,3,3,1793,1949,,,0,0,0,0
,,,,3,,,2,2,1523,1949,,,0,0,0,0
,,,,3,,,2,2,1523,1949,,,0,0,0,0
,,,,3,,,2,2,1523,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,3,,,3,3,1523,1949,,,0,0,0,0
,,,,2,,,21,21,1070,1949,,,0,0,0,0
,,,,2,,,60,60,1070,1949,,,0,0,0,0
,,,,2,,,60,60,1070,1949,,,0,0,0,0
,,,,3,,,15,15,1523,1949,,,0,0,0,0
,,,,3,,,2,2,1523,1949,,,0,0,0,0
,,,,3,,,3,3,1523,1949,,,0,0,0,0
,,,,2,,,14,14,1070,1949,,,0,0,0,0
,,,,5,,,2,2,1880,1949,,,0,0,0,0
,,,,2,,,34,34,1070,1949,,,0,0,0,0
,,,,2,,,34,34,1070,1949,,,0,0,0,0
,,,,0,,,12,69,99,1949,,,0,0,0,0
,,,,2,,,60,60,1070,1949,,,0,0,0,0
,,,,3,,,2,2,1523,1949,,,0,0,0,0
,,,,3,,,3,3,1523,1949,,,0,0,0,0
,,,,0,,,12,69,99,1949,,,0,0,0,0
,,,,0,,,12,69,99,1949,,,0,0,0,0
,,,,0,,,12,69,99,1949,,,0,0,0,0
,,,,2,,,14,14,1070,1949,,,0,0,0,0
,,,,5,,,3,3,1880,1949,,,0,0,0,0
,,,,2,,,60,60,1070,1949,,,0,0,0,0
,,,,2,,,60,60,1070,1949,,,0,0,0,0
,,,,4,,,3,3,1793,1949,,,0,0,0,0
,,,,2,,,60,60,1070,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,2,,,23,23,1070,1949,,,0,0,0,0
,,,,3,,,2,2,1523,1949,,,0,0,0,0
,,,,3,,,2,2,1523,1949,,,0,0,0,0
,,,,1,,,15,15,566,1949,,,0,0,0,0
,,,,3,,,2,2,1523,1949,,,0,0,0,0
,,,,3,,,2,2,1523,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,3,,,6,8,1523,1949,,,0,0,0,0
,,,,3,,,6,8,1523,1949,,,0,0,0,0
,,,,5,,,3,3,1880,1949,,,0,0,0,0
,,,,4,,,3,3,1793,1949,,,0,0,0,0
,,,,5,,,3,3,1880,1949,,,0,0,0,0
,,,,4,,,3,3,1793,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,2,,,34,34,1070,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,2,,,34,34,1070,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,2,,,31,31,1070,1949,,,0,0,0,0
,,,,2,,,31,31,1070,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,4,,,3,3,1793,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,5,,,1,1,1880,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,4,,,5,5,1793,1949,,,0,0,0,0
,,,,4,,,5,5,1793,1949,,,0,0,0,0
,,,,1,,,3,3,566,1949,,,0,0,0,0
,,,,3,,,4,4,1523,1949,,,0,0,0,0
,,,,3,,,15,15,1523,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,1,,,3,3,566,1949,,,0,0,0,0
,,,,1,,,3,3,566,1949,,,0,0,0,0
,,,,1,,,3,3,566,1949,,,0,0,0,0
,,,,1,,,3,3,566,1949,,,0,0,0,0
,,,,1,,,3,3,566,1949,,,0,0,0,0
,,,,1,,,3,3,566,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,3,,,2,2,1523,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,2,,,7,38,1070,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,74,74,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,3,,,6,6,1523,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,3,,,6,6,1523,1949,,,0,0,0,0
,,,,3,,,6,6,1523,1949,,,0,0,0,0
,,,,3,,,6,6,1523,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,2,,,23,23,1070,1949,,,0,0,0,0
,,,,2,,,23,23,1070,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,3,,,15,15,1523,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,4,,,3,3,1793,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,4,,,3,3,1793,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,4,,,3,3,1793,1949,,,0,0,0,0
,,,,2,,,13,13,1070,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,2,,,5,5,1070,1949,,,0,0,0,0
,,,,2,,,14,14,1070,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,4,,,3,3,1793,1949,,,0,0,0,0
,,,,4,,,3,3,1793,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,2,,,14,14,1070,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,1,,,16,16,566,1949,,,0,0,0,0
,,,,2,,,5,5,1070,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,2,,,31,38,1070,1949,,,0,0,0,0
,,,,3,,,96,97,1523,1949,,,0,0,0,0
,,,,3,,,17,17,1523,1949,,,0,0,0,0
,,,,4,,,4,4,1793,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,1,,,35,77,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,3,,,1,97,1523,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,3,,,15,15,1523,1949,,,0,0,0,0
,,,,4,,,18,18,1793,1949,,,0,0,0,0
,,,,2,,,34,34,1070,1949,,,0,0,0,0
,,,,4,,,18,18,1793,1949,,,0,0,0,0
,,,,4,,,18,18,1793,1949,,,0,0,0,0
,,,,2,,,34,34,1070,1949,,,0,0,0,0
,,,,1,,,160,160,566,1949,,,0,0,0,0
,,,,2,,,23,23,1070,1949,,,0,0,0,0
,,,,5,,,3,3,1880,1949,,,0,0,0,0
,,,,0,,,18,18,99,1949,,,0,0,0,0
,,,,3,,,96,97,1523,1949,,,0,0,0,0
