Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets)
memcached.c:2881:5,,,,5,,,1,1,221,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:533:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:591:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:533:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
cache.c:91:17,,,,3,,,0,0,192,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:533:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:591:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:533:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:591:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:533:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:533:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:591:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:591:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:591:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:591:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
slabs.c:798:22,,,,2,,,2,2,155,225,,,0,0,0,0
items.c:1068:23,,,,2,,,2,2,155,225,,,0,0,0,0
assoc.c:230:34,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:543:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:607:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:621:10,,,,2,,,2,2,155,225,,,0,0,0,0
thread.c:570:10,,,,2,,,2,2,155,225,,,0,0,0,0
stats.c:86:15,,,,2,,,2,2,155,225,,,0,0,0,0
crawler.c:563:13,,,,2,,,2,2,155,225,,,0,0,0,0
crawler.c:363:27,,,,2,,,2,2,155,225,,,0,0,0,0
crawler.c:388:13,,,,4,,,2,2,210,225,,,0,0,0,0
crawler.c:411:13,,,,1,,,17,17,92,225,,,0,0,0,0
crawler.c:319:9,,,,2,,,4,4,155,225,,,0,0,0,0
cache.c:148:17,,,,2,,,0,0,155,225,,,0,0,0,0
