Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets)
src/core/ngx_log.c:149:13,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/core/ngx_log.c:168:13,,,,4,,,2,2,1241,1270,,,0,0,0,0
src/core/ngx_palloc.c:57:13,,,,1,,,17,17,422,1270,,,0,0,0,0
src/core/ngx_hash.c:512:26,,,,2,,,15,15,719,1270,,,0,0,0,0
src/core/ngx_queue.c:70:17,,,,2,,,75,75,719,1270,,,0,0,0,0
src/core/ngx_output_chain.c:65:20,,,,2,,,4,4,719,1270,,,0,0,0,0
src/core/ngx_output_chain.c:74:20,,,,2,,,4,4,719,1270,,,0,0,0,0
src/core/ngx_output_chain.c:214:16,,,,2,,,4,4,719,1270,,,0,0,0,0
src/core/ngx_output_chain.c:741:13,,,,3,,,10,10,1172,1270,,,0,0,0,0
src/core/ngx_string.c:2003:38,,,,2,,,4,4,719,1270,,,0,0,0,0
src/core/ngx_file.c:972:13,,,,2,,,4,4,719,1270,,,0,0,0,0
src/core/ngx_file.c:1058:17,,,,2,,,75,75,719,1270,,,0,0,0,0
src/core/ngx_file.c:1070:18,,,,2,,,75,75,719,1270,,,0,0,0,0
src/core/ngx_file.c:1089:17,,,,2,,,75,75,719,1270,,,0,0,0,0
src/core/ngx_file.c:1098:17,,,,2,,,75,75,719,1270,,,0,0,0,0
src/core/ngx_rbtree.c:44:5,,,,3,,,11,11,1172,1270,,,0,0,0,0
src/core/ngx_connection.c:990:21,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/core/ngx_connection.c:993:21,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/core/ngx_connection.c:1255:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_connection.c:1137:13,,,,2,,,16,16,719,1270,,,0,0,0,0
src/core/ngx_connection.c:1141:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/core/ngx_connection.c:1145:17,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/core/ngx_connection.c:1274:13,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_cycle.c:230:18,,,,1,,,44,50,422,1270,,,0,0,0,0
src/core/ngx_cycle.c:294:17,,,,2,,,9,9,719,1270,,,0,0,0,0
src/core/ngx_cycle.c:464:21,,,,2,,,15,15,719,1270,,,0,0,0,0
src/core/ngx_cycle.c:484:13,,,,2,,,15,15,719,1270,,,0,0,0,0
src/core/ngx_module.c:72:17,,,,1,,,149,149,422,1270,,,0,0,0,0
src/core/ngx_cycle.c:1117:13,,,,2,,,25,25,719,1270,,,0,0,0,0
src/core/ngx_cycle.c:1390:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_conf_file.c:304:18,,,,3,,,116,116,1172,1270,,,0,0,0,0
src/core/ngx_conf_file.c:463:18,,,,3,,,116,116,1172,1270,,,0,0,0,0
src/core/ngx_conf_file.c:1052:16,,,,3,,,38,38,1172,1270,,,0,0,0,0
src/core/ngx_conf_file.c:1079:16,,,,3,,,38,38,1172,1270,,,0,0,0,0
src/core/ngx_conf_file.c:1115:16,,,,3,,,38,38,1172,1270,,,0,0,0,0
src/core/ngx_conf_file.c:1153:16,,,,3,,,38,38,1172,1270,,,0,0,0,0
src/core/ngx_conf_file.c:1184:16,,,,3,,,38,38,1172,1270,,,0,0,0,0
src/core/ngx_conf_file.c:1215:16,,,,3,,,38,38,1172,1270,,,0,0,0,0
src/core/ngx_conf_file.c:1246:16,,,,3,,,38,38,1172,1270,,,0,0,0,0
src/core/ngx_conf_file.c:1277:16,,,,3,,,38,38,1172,1270,,,0,0,0,0
src/core/ngx_conf_file.c:1308:16,,,,3,,,38,38,1172,1270,,,0,0,0,0
src/core/ngx_conf_file.c:979:13,,,,2,,,25,25,719,1270,,,0,0,0,0
src/core/ngx_module.c:72:17,,,,1,,,149,149,422,1270,,,0,0,0,0
src/core/ngx_module.c:266:18,,,,1,,,44,50,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:431:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:984:13,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:675:21,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:725:17,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:834:13,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:4030:5,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:2968:5,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:4244:13,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:4255:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:4264:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:4322:5,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:4508:13,,,,1,,,149,149,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:4611:9,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/core/ngx_resolver.c:4619:13,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/core/ngx_resolver.c:1580:13,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/core/ngx_resolver.c:1633:13,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/core/ngx_resolver.c:2078:13,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:2407:13,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:2473:21,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:2620:13,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:2858:21,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:3187:13,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:3323:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:3323:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/core/ngx_resolver.c:4443:9,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/core/ngx_resolver.c:1300:9,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/core/ngx_resolver.c:1546:13,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/core/ngx_open_file_cache.c:1084:12,,,,3,,,3,3,1172,1270,,,0,0,0,0
