Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets)
../deps/v8/src/api.cc:417:7,,,,2,,,7,7,15817,23376,,,0,0,1677,2959
../deps/v8/src/api.cc:423:5,,,,2,,,3,3,15817,23376,,,0,0,1677,2959
../deps/v8/src/api.cc:417:7,,,,2,,,7,7,15817,23376,,,0,0,1677,2959
../deps/v8/src/api.cc:423:5,,,,2,,,3,3,15817,23376,,,0,0,1677,2959
../deps/v8/src/api.cc:400:5,,,,2,,,7,7,15817,23376,,,0,0,1677,2959
../deps/v8/src/api.cc:400:5,,,,2,,,7,7,15817,23376,,,0,0,1677,2959
../deps/v8/src/api.cc:400:5,,,,2,,,7,7,15817,23376,,,0,0,1677,2959
../deps/v8/src/heap/store-buffer.h:128:5,,,,2,,,86,86,15817,23376,,,12,12,1677,2959
../deps/v8/src/api.cc:400:5,,,,2,,,7,7,15817,23376,,,0,0,1677,2959
../deps/v8/src/api.cc:400:5,,,,2,,,7,7,15817,23376,,,0,0,1677,2959
../deps/v8/src/api.cc:400:5,,,,2,,,7,7,15817,23376,,,0,0,1677,2959
../deps/v8/src/api.cc:400:5,,,,2,,,7,7,15817,23376,,,0,0,1677,2959
../deps/v8/src/api.cc:400:5,,,,2,,,7,7,15817,23376,,,0,0,1677,2959
../deps/v8/src/api.cc:400:5,,,,2,,,7,7,15817,23376,,,0,0,1677,2959
