Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions,,VTableSubHierarchy (ShrinkWrap),ClassSubHierarchy (VTV),ClassIsland (Marx),AllVTables (vTint)
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets),,(targets at offset in vTable hierarchy with PreciseName as root),(targets at offset in class hierarchy with PreciseName as root),(targets in class hierarchy island containing PreciseName),(targets in any vtable)
../deps/v8/src/interface-descriptors.h:215:7,_ZN2v88internal23CallInterfaceDescriptor29InitializePlatformIndependentEPNS0_27CallInterfaceDescriptorDataE,_ZTVN2v88internal23CallInterfaceDescriptorE,_ZTVN2v88internal23CallInterfaceDescriptorE,2,,193,2530,2530,15817,23376,,193,583,583,1677,2959,,85,85,85,2903
../deps/v8/src/interface-descriptors.h:214:7,_ZN2v88internal23CallInterfaceDescriptor26InitializePlatformSpecificEPNS0_27CallInterfaceDescriptorDataE,_ZTVN2v88internal23CallInterfaceDescriptorE,_ZTVN2v88internal23CallInterfaceDescriptorE,2,,193,2530,2530,15817,23376,,193,583,583,1677,2959,,108,108,108,2903
../deps/v8/src/interface-descriptors.h:215:7,_ZN2v88internal23CallInterfaceDescriptor29InitializePlatformIndependentEPNS0_27CallInterfaceDescriptorDataE,_ZTVN2v88internal23CallInterfaceDescriptorE,_ZTVN2v88internal23CallInterfaceDescriptorE,2,,193,2530,2530,15817,23376,,193,583,583,1677,2959,,85,85,85,2903
../deps/v8/src/interface-descriptors.h:214:7,_ZN2v88internal23CallInterfaceDescriptor26InitializePlatformSpecificEPNS0_27CallInterfaceDescriptorDataE,_ZTVN2v88internal23CallInterfaceDescriptorE,_ZTVN2v88internal23CallInterfaceDescriptorE,2,,193,2530,2530,15817,23376,,193,583,583,1677,2959,,108,108,108,2903
../deps/v8/src/interface-descriptors.h:215:7,_ZN2v88internal23CallInterfaceDescriptor29InitializePlatformIndependentEPNS0_27CallInterfaceDescriptorDataE,_ZTVN2v88internal23CallInterfaceDescriptorE,_ZTVN2v88internal23CallInterfaceDescriptorE,2,,193,2530,2530,15817,23376,,193,583,583,1677,2959,,85,85,85,2903
../deps/v8/src/interface-descriptors.h:214:7,_ZN2v88internal23CallInterfaceDescriptor26InitializePlatformSpecificEPNS0_27CallInterfaceDescriptorDataE,_ZTVN2v88internal23CallInterfaceDescriptorE,_ZTVN2v88internal23CallInterfaceDescriptorE,2,,193,2530,2530,15817,23376,,193,583,583,1677,2959,,108,108,108,2903
../deps/v8/src/interface-descriptors.h:215:7,_ZN2v88internal23CallInterfaceDescriptor29InitializePlatformIndependentEPNS0_27CallInterfaceDescriptorDataE,_ZTVN2v88internal23CallInterfaceDescriptorE,_ZTVN2v88internal23CallInterfaceDescriptorE,2,,193,2530,2530,15817,23376,,193,583,583,1677,2959,,85,85,85,2903
../deps/v8/src/interface-descriptors.h:214:7,_ZN2v88internal23CallInterfaceDescriptor26InitializePlatformSpecificEPNS0_27CallInterfaceDescriptorDataE,_ZTVN2v88internal23CallInterfaceDescriptorE,_ZTVN2v88internal23CallInterfaceDescriptorE,2,,193,2530,2530,15817,23376,,193,583,583,1677,2959,,108,108,108,2903
../deps/v8/src/interface-descriptors.h:215:7,_ZN2v88internal23CallInterfaceDescriptor29InitializePlatformIndependentEPNS0_27CallInterfaceDescriptorDataE,_ZTVN2v88internal23CallInterfaceDescriptorE,_ZTVN2v88internal23CallInterfaceDescriptorE,2,,193,2530,2530,15817,23376,,193,583,583,1677,2959,,85,85,85,2903
